component,layer,index,delta_loss,delta_accuracy,seed,step,probe_split
head,0,0,0.0008945465087890625,0.006896555423736572,0,0,heldout
head,0,1,-0.004803180694580078,-0.013793103396892548,0,0,heldout
head,0,2,-0.004567146301269531,0.0,0,0,heldout
head,0,3,0.0007748603820800781,0.006896555423736572,0,0,heldout
mlp_group,0,0,-0.001752614974975586,0.0,0,0,heldout
mlp_group,0,1,-0.00522613525390625,0.006896555423736572,0,0,heldout
mlp_group,0,2,0.0016884803771972656,0.0,0,0,heldout
mlp_group,0,3,0.002975940704345703,0.0,0,0,heldout
mlp_group,0,4,-0.006445884704589844,0.006896555423736572,0,0,heldout
mlp_group,0,5,0.007622957229614258,0.006896555423736572,0,0,heldout
mlp_group,0,6,0.010954141616821289,0.013793107122182846,0,0,heldout
mlp_group,0,7,-0.004357099533081055,0.0,0,0,heldout
head,1,0,-0.0018053054809570312,0.006896555423736572,0,0,heldout
head,1,1,0.0007293224334716797,0.027586210519075394,0,0,heldout
head,1,2,0.008519172668457031,0.0,0,0,heldout
head,1,3,-0.0009329319000244141,0.006896555423736572,0,0,heldout
mlp_group,1,0,-0.008393526077270508,0.02068965882062912,0,0,heldout
mlp_group,1,1,0.0059664249420166016,0.006896555423736572,0,0,heldout
mlp_group,1,2,-0.006059885025024414,0.0,0,0,heldout
mlp_group,1,3,0.005822420120239258,-0.020689651370048523,0,0,heldout
mlp_group,1,4,-2.6702880859375e-05,0.0,0,0,heldout
mlp_group,1,5,-0.0003879070281982422,0.006896555423736572,0,0,heldout
mlp_group,1,6,0.0004639625549316406,0.0,0,0,heldout
mlp_group,1,7,0.0041234493255615234,0.006896555423736572,0,0,heldout
head,0,0,0.7920300960540771,0.3241379112005234,0,500,heldout
head,0,1,0.807600736618042,0.2965517044067383,0,500,heldout
head,0,2,0.8942582607269287,0.2689654976129532,0,500,heldout
head,0,3,1.0316455364227295,0.3379310071468353,0,500,heldout
mlp_group,0,0,0.22014904022216797,0.0275861918926239,0,500,heldout
mlp_group,0,1,0.6452677249908447,0.2413792908191681,0,500,heldout
mlp_group,0,2,0.33956098556518555,0.09655168652534485,0,500,heldout
mlp_group,0,3,0.6246051788330078,0.22068962454795837,0,500,heldout
mlp_group,0,4,0.49889159202575684,0.13793101906776428,0,500,heldout
mlp_group,0,5,0.7538535594940186,0.24827584624290466,0,500,heldout
mlp_group,0,6,0.38106298446655273,0.1310344636440277,0,500,heldout
mlp_group,0,7,0.7608144283294678,0.20689651370048523,0,500,heldout
head,1,0,0.7679386138916016,0.23448273539543152,0,500,heldout
head,1,1,0.4788475036621094,0.15172410011291504,0,500,heldout
head,1,2,0.5758137702941895,0.17241376638412476,0,500,heldout
head,1,3,0.5038425922393799,0.17931032180786133,0,500,heldout
mlp_group,1,0,-0.012773513793945312,0.006896555423736572,0,500,heldout
