layer,head,delta_loss,delta_accuracy,seed,step
0,0,0.0019538402557373047,0.0,0,0
0,1,-0.005432605743408203,-0.010380618274211884,0,0
0,2,-0.0027027130126953125,0.0,0,0
0,3,0.0009698867797851562,0.0,0,0
1,0,0.0010306835174560547,0.006920415908098221,0,0
1,1,-0.0016214847564697266,0.017301037907600403,0,0
1,2,0.00154876708984375,-0.003460206091403961,0,0
1,3,0.0030341148376464844,0.006920415908098221,0,0
0,0,0.75262051820755,0.23529410362243652,0,50
0,1,0.9739346504211426,0.30103808641433716,0,50
0,2,0.5174198746681213,0.19723182916641235,0,50
0,3,0.8353096842765808,0.27681660652160645,0,50
1,0,0.3472188413143158,0.10034602880477905,0,50
1,1,0.22926214337348938,0.06228375434875488,0,50
1,2,0.25577932596206665,0.08996540307998657,0,50
1,3,0.3752310574054718,0.12456744909286499,0,50
0,0,0.8270223140716553,0.2698962092399597,0,100
0,1,1.0520303845405579,0.2837370038032532,0,100
0,2,0.5658466815948486,0.19723182916641235,0,100
0,3,0.9771941900253296,0.29411762952804565,0,100
1,0,0.301302433013916,0.0968858003616333,0,100
1,1,0.16839909553527832,0.04844290018081665,0,100
1,2,0.21129749715328217,0.07266438007354736,0,100
1,3,0.3304688632488251,0.1038062572479248,0,100
0,0,0.8794881037902087,0.2871972322463989,0,150
0,1,1.087437444133684,0.2733563780784607,0,150
0,2,0.5816855363082141,0.1937716007232666,0,150
0,3,1.012015276355669,0.30449825525283813,0,150
1,0,0.29536264459602535,0.0968858003616333,0,150
1,1,0.16922041098587215,0.04844290018081665,0,150
1,2,0.21467762510292232,0.07958477735519409,0,150
1,3,0.33553057233802974,0.1038062572479248,0,150
0,0,0.9215214729774743,0.2802768349647522,0,200
0,1,1.1199138641823083,0.2906574606895447,0,200
0,2,0.6015088439453393,0.18685120344161987,0,200
0,3,1.0482385635841638,0.30449825525283813,0,200
1,0,0.29507063631899655,0.10726642608642578,0,200
1,1,0.17002563481219113,0.04844290018081665,0,200
1,2,0.21930873696692288,0.08304500579833984,0,200
1,3,0.3432892442215234,0.1038062572479248,0,200
0,0,0.9587326420005411,0.29411762952804565,0,250
0,1,1.147933162515983,0.2871972322463989,0,250
0,2,0.6188202274497598,0.19031143188476562,0,250
0,3,1.0789317262824625,0.30449825525283813,0,250
1,0,0.2965414000209421,0.1038062572479248,0,250
1,1,0.17080443329177797,0.0449826717376709,0,250
1,2,0.2245322687085718,0.07958477735519409,0,250
1,3,0.35103327757678926,0.11072665452957153,0,250
0,0,0.9921678393147886,0.2975778579711914,0,300
0,1,1.1722449152730405,0.2802768349647522,0,300
0,2,0.6338622658513486,0.1937716007232666,0,300
0,3,1.1052240221761167,0.2975778579711914,0,300
1,0,0.29854963114485145,0.11072665452957153,0,300
1,1,0.1715714274905622,0.0449826717376709,0,300
1,2,0.22991555323824286,0.07958477735519409,0,300
1,3,0.35828248551115394,0.11418682336807251,0,300
0,0,1.022501596598886,0.29411762952804565,0,350
0,1,1.1935876695206389,0.2802768349647522,0,350
0,2,0.6470026461174712,0.19723182916641235,0,350
0,3,1.1281563130905852,0.30449825525283813,0,350
1,0,0.3007408467819914,0.11072665452957153,0,350
1,1,0.17237020411994308,0.0449826717376709,0,350
1,2,0.23527871945407242,0.07958477735519409,0,350
1,3,0.36504466214682907,0.11072665452957153,0,350
0,0,1.0502415655646473,0.2906574606895447,0,400
0,1,1.212570762494579,0.2802768349647522,0,400
0,2,0.6586200355086476,0.2006920576095581,0,400
0,3,1.1484642981085926,0.30449825525283813,0,400
1,0,0.3029876409564167,0.10726642608642578,0,400
1,1,0.17320961342193186,0.04152250289916992,0,400
1,2,0.2405259816441685,0.08304500579833984,0,400
1,3,0.37140173302032053,0.11072665452957153,0,400
0,0,1.075787917332491,0.2871972322463989,0,450
0,1,1.2296658908890095,0.29411762952804565,0,450
0,2,0.6690247809456196,0.20415222644805908,0,450
0,3,1.166681185917696,0.30449825525283813,0,450
1,0,0.30525167341693304,0.10726642608642578,0,450
1,1,0.1740857517288532,0.0449826717376709,0,450
1,2,0.2456163024471607,0.08650517463684082,0,450
1,3,0.3774319147632923,0.11072665452957153,0,450
0,0,1.0994662985322066,0.2975778579711914,0,500
0,1,1.2452183708664961,0.29411762952804565,0,500
0,2,0.6784439429757185,0.20761245489120483,0,500
0,3,1.1831850752350874,0.30449825525283813,0,500
1,0,0.3075227186200209,0.10726642608642578,0,500
1,1,0.17499441356630996,0.0449826717376709,0,500
1,2,0.25053608865709975,0.08650517463684082,0,500
1,3,0.38320035190554336,0.11418682336807251,0,500
0,0,1.1215354983287398,0.30449825525283813,0,550
0,1,1.2594974820094649,0.29411762952804565,0,550
0,2,0.6870528642612044,0.21107268333435059,0,550
0,3,1.1982683722453658,0.30449825525283813,0,550
1,0,0.3098000471072737,0.10726642608642578,0,550
1,1,0.17593096537166275,0.0449826717376709,0,550
1,2,0.25529198689037,0.08650517463684082,0,550
1,3,0.38875691933208145,0.11418682336807251,0,550
0,0,1.1422140176291578,0.30449825525283813,0,600
0,1,1.2727094466681592,0.2975778579711914,0,600
0,2,0.6949806387419812,0.20761245489120483,0,600
0,3,1.2121468360419385,0.30449825525283813,0,600
1,0,0.3120880599017255,0.11072665452957153,0,600
1,1,0.17689363908721134,0.0449826717376709,0,600
1,2,0.2598957295413129,0.08304500579833984,0,600
1,3,0.3941432709689252,0.11418682336807251,0,600
0,0,1.1616790386469802,0.30449825525283813,0,650
0,1,1.2850123735697707,0.2975778579711914,0,650
0,2,0.7023267241747817,0.21107268333435059,0,650
0,3,1.2250011059077224,0.30449825525283813,0,650
1,0,0.3143889399798354,0.11072665452957153,0,650
1,1,0.17788294875936117,0.0449826717376709,0,650
1,2,0.26436159932927694,0.08304500579833984,0,650
1,3,0.39938778603391256,0.11764705181121826,0,650
0,0,1.1800738183228532,0.3079584836959839,0,700
0,1,1.2965383139817277,0.2975778579711914,0,700
0,2,0.7091682163445512,0.21799308061599731,0,700
0,3,1.2369695512024919,0.30449825525283813,0,700
1,0,0.31670453226251993,0.11072665452957153,0,700
1,1,0.17889656698389445,0.0519031286239624,0,700
1,2,0.26870661055727396,0.08304500579833984,0,700
1,3,0.40451785003824625,0.11764705181121826,0,700
0,0,1.1975269557151478,0.31141871213912964,0,750
0,1,1.307389402500121,0.30103808641433716,0,750
0,2,0.7155687452468555,0.21453285217285156,0,750
0,3,1.2481681347999256,0.3079584836959839,0,750
1,0,0.31903877269360237,0.11072665452957153,0,750
1,1,0.17993510674568824,0.0519031286239624,0,750
1,2,0.2729448617610615,0.08996540307998657,0,750
1,3,0.40955367099377327,0.11764705181121826,0,750
0,0,1.2141366174037103,0.3079584836959839,0,800
0,1,1.3176554610545281,0.30103808641433716,0,800
0,2,0.7215867807681207,0.21453285217285156,0,800
0,3,1.2586966922099236,0.3079584836959839,0,800
1,0,0.3213941623980645,0.11072665452957153,0,800
1,1,0.1809988190943841,0.0519031286239624,0,800
1,2,0.27708806298323907,0.08996540307998657,0,800
1,3,0.4145110418612603,0.11764705181121826,0,800
0,0,1.229991578613408,0.3079584836959839,0,850
0,1,1.3274030919419602,0.30449825525283813,0,850
0,2,0.727254533325322,0.21799308061599731,0,850
0,3,1.268628382240422,0.3079584836959839,0,850
1,0,0.32377611950505525,0.11072665452957153,0,850
1,1,0.18208705738652498,0.0519031286239624,0,850
1,2,0.28114738420117646,0.09342563152313232,0,850
1,3,0.4194054837571457,0.11764705181121826,0,850
0,0,1.2451749989268137,0.31141871213912964,0,900
0,1,1.3366962620493723,0.30449825525283813,0,900
0,2,0.7326145121332956,0.21799308061599731,0,900
0,3,1.2780449339625193,0.30449825525283813,0,900
1,0,0.3261824497458292,0.11072665452957153,0,900
1,1,0.1832001456496073,0.0519031286239624,0,900
1,2,0.28513740985363256,0.09342563152313232,0,900
1,3,0.42424481599300634,0.11764705181121826,0,900
0,0,1.2597443453560118,0.3148788809776306,0,950
0,1,1.3455823055992369,0.3079584836959839,0,950
0,2,0.7376936666260008,0.21799308061599731,0,950
0,3,1.28699570815661,0.30449825525283813,0,950
1,0,0.32861694614985026,0.11072665452957153,0,950
1,1,0.1843389562855009,0.0519031286239624,0,950
1,2,0.28906285684206523,0.0968858003616333,0,950
1,3,0.4290420107136015,0.11418682336807251,0,950
0,0,1.2737633927317802,0.31833910942077637,0,1000
0,1,1.3541078312846366,0.30449825525283813,0,1000
0,2,0.7425227506610099,0.21107268333435059,0,1000
0,3,1.295532558724517,0.30103808641433716,0,1000
1,0,0.3310787125083152,0.11418682336807251,0,1000
1,1,0.18550426201545633,0.0519031286239624,0,1000
1,2,0.292937104270095,0.0968858003616333,0,1000
1,3,0.43380293683730997,0.11418682336807251,0,1000
