component,layer,index,delta_loss,delta_accuracy,seed,step,probe_split
head,0,0,0.0019538402557373047,0.0,0,0,full_table
head,0,1,-0.005432605743408203,-0.010380618274211884,0,0,full_table
head,0,2,-0.0027027130126953125,0.0,0,0,full_table
head,0,3,0.0009698867797851562,0.0,0,0,full_table
mlp_group,0,0,-0.004214286804199219,0.0,0,0,full_table
mlp_group,0,1,-0.0036253929138183594,0.0,0,0,full_table
mlp_group,0,2,0.00228118896484375,-0.003460206091403961,0,0,full_table
mlp_group,0,3,0.005175590515136719,0.0,0,0,full_table
mlp_group,0,4,-0.0058934688568115234,0.0,0,0,full_table
mlp_group,0,5,0.008326292037963867,0.006920415908098221,0,0,full_table
mlp_group,0,6,0.01035451889038086,0.010380621999502182,0,0,full_table
mlp_group,0,7,-0.0061855316162109375,0.0,0,0,full_table
head,1,0,0.0010306835174560547,0.006920415908098221,0,0,full_table
head,1,1,-0.0016214847564697266,0.017301037907600403,0,0,full_table
head,1,2,0.00154876708984375,-0.003460206091403961,0,0,full_table
head,1,3,0.0030341148376464844,0.006920415908098221,0,0,full_table
mlp_group,1,0,-0.004924774169921875,0.010380621999502182,0,0,full_table
mlp_group,1,1,0.0038552284240722656,0.006920415908098221,0,0,full_table
mlp_group,1,2,-0.005585908889770508,-0.003460206091403961,0,0,full_table
mlp_group,1,3,0.00177001953125,-0.006920412182807922,0,0,full_table
mlp_group,1,4,0.001967906951904297,-0.003460206091403961,0,0,full_table
mlp_group,1,5,0.0003325939178466797,0.0,0,0,full_table
mlp_group,1,6,-0.000701904296875,0.0,0,0,full_table
mlp_group,1,7,0.006071567535400391,0.0,0,0,full_table
head,0,0,0.8270223140716553,0.2698962092399597,0,100,full_table
head,0,1,1.0520303845405579,0.2837370038032532,0,100,full_table
head,0,2,0.5658466815948486,0.19723182916641235,0,100,full_table
head,0,3,0.9771941900253296,0.29411762952804565,0,100,full_table
mlp_group,0,0,0.0005374152678996325,0.0,0,100,full_table
mlp_group,0,1,0.0009691254235804081,0.0,0,100,full_table
mlp_group,0,2,0.0023440122604370117,0.0,0,100,full_table
mlp_group,0,3,0.003090107347816229,0.0,0,100,full_table
mlp_group,0,4,0.000558414263650775,0.0,0,100,full_table
mlp_group,0,5,0.005606725811958313,0.0,0,100,full_table
mlp_group,0,6,0.0016760900616645813,0.0,0,100,full_table
mlp_group,0,7,0.0007262772414833307,0.0,0,100,full_table
head,1,0,0.301302433013916,0.0968858003616333,0,100,full_table
head,1,1,0.16839909553527832,0.04844290018081665,0,100,full_table
head,1,2,0.21129749715328217,0.07266438007354736,0,100,full_table
