component,layer,index,delta_loss,delta_accuracy,seed,step
head,0,0,-0.004046201705932617,0.0,1,0
head,0,1,-0.002470254898071289,-0.003460206091403961,1,0
head,0,2,0.007899999618530273,0.0,1,0
head,0,3,-0.0068302154541015625,0.0,1,0
mlp_group,0,0,-0.002590656280517578,-0.003460206091403961,1,0
mlp_group,0,1,0.004730701446533203,-0.003460206091403961,1,0
mlp_group,0,2,-0.0028693675994873047,0.0,1,0
mlp_group,0,3,0.0019989013671875,0.0,1,0
mlp_group,0,4,-0.0028007030487060547,0.0,1,0
mlp_group,0,5,-0.011758565902709961,0.0,1,0
mlp_group,0,6,0.002538442611694336,0.0,1,0
mlp_group,0,7,-0.0023577213287353516,0.0,1,0
head,1,0,-0.0008511543273925781,0.0,1,0
head,1,1,-0.007094144821166992,0.0,1,0
head,1,2,0.0040514469146728516,0.0,1,0
head,1,3,-0.004287242889404297,-0.003460206091403961,1,0
mlp_group,1,0,-0.0022149085998535156,0.0,1,0
mlp_group,1,1,-0.003542661666870117,0.0,1,0
mlp_group,1,2,0.0031218528747558594,0.0,1,0
mlp_group,1,3,-0.0013589859008789062,0.0,1,0
mlp_group,1,4,0.0011789798736572266,0.0,1,0
mlp_group,1,5,0.002798795700073242,0.0,1,0
mlp_group,1,6,-0.001367807388305664,0.0,1,0
mlp_group,1,7,0.00017714500427246094,-0.003460206091403961,1,0
head,0,0,0.5226415824145079,0.16262978315353394,1,100
head,0,1,0.7663739155977964,0.21799308061599731,1,100
head,0,2,0.7698871921747923,0.23875433206558228,1,100
head,0,3,0.8970754574984312,0.23183393478393555,1,100
mlp_group,0,0,0.0022545810788869858,0.0,1,100
mlp_group,0,1,0.0005878917872905731,0.0,1,100
mlp_group,0,2,0.0019736308604478836,0.0,1,100
mlp_group,0,3,0.0007455653976649046,0.0,1,100
mlp_group,0,4,0.005083072930574417,0.0,1,100
mlp_group,0,5,0.004096423741430044,0.0,1,100
mlp_group,0,6,0.0030486397445201874,0.0,1,100
mlp_group,0,7,0.0009692427702248096,0.0,1,100
head,1,0,0.15619139187037945,0.05536329746246338,1,100
head,1,1,0.30576531402766705,0.10034602880477905,1,100
head,1,2,0.7407268714159727,0.21453285217285156,1,100
head,1,3,0.31142313592135906,0.07612454891204834,1,100
mlp_group,1,0,0.0008654023986309767,0.0,1,100
mlp_group,1,1,0.0007069299463182688,0.0,1,100
mlp_group,1,2,0.001221303828060627,0.0,1,100
mlp_group,1,3,0.0009999722242355347,0.0,1,100
mlp_group,1,4,0.0009035919792950153,0.0,1,100
mlp_group,1,5,0.0012451205402612686,0.0,1,100
mlp_group,1,6,0.001263524405658245,0.0,1,100
mlp_group,1,7,0.0016267439350485802,0.0,1,100
head,0,0,0.50949575251434,0.15916955471038818,1,200
head,0,1,0.8319729740032926,0.24221456050872803,1,200
head,0,2,0.8275877410778776,0.24221456050872803,1,200
head,0,3,0.9803643400082365,0.24913495779037476,1,200
mlp_group,0,0,0.0014690199168398976,0.0,1,200
mlp_group,0,1,0.0003030714578926563,0.0,1,200
mlp_group,0,2,0.0028517033206298947,0.0,1,200
mlp_group,0,3,0.00045265688095241785,0.0,1,200
mlp_group,0,4,0.004239065223373473,0.0,1,200
mlp_group,0,5,0.0019816808635368943,0.0,1,200
mlp_group,0,6,0.0038497407222166657,0.003460228443145752,1,200
mlp_group,0,7,0.0006514204433187842,0.0,1,200
head,1,0,0.1717441255459562,0.05882352590560913,1,200
head,1,1,0.30826364702079445,0.11764705181121826,1,200
head,1,2,0.8158385331043974,0.23875433206558228,1,200
head,1,3,0.3215987557778135,0.07958477735519409,1,200
mlp_group,1,0,0.00044495193287730217,0.0,1,200
mlp_group,1,1,0.0003595941234380007,0.0,1,200
mlp_group,1,2,0.0007057018810883164,0.0,1,200
mlp_group,1,3,0.0005462955450639129,0.0,1,200
mlp_group,1,4,0.0004613189958035946,0.0,1,200
mlp_group,1,5,0.0007076432229951024,0.0,1,200
mlp_group,1,6,0.0006574064027518034,0.0,1,200
mlp_group,1,7,0.0009236898040398955,0.0,1,200
head,0,0,0.5071411113603972,0.14532870054244995,1,300
head,0,1,0.8851464371546172,0.24221456050872803,1,300
head,0,2,0.8559620957239531,0.245674729347229,1,300
head,0,3,1.0341092328890227,0.2560553550720215,1,300
mlp_group,0,0,0.0011920278775505722,0.0,1,300
mlp_group,0,1,0.00020548549946397543,0.0,1,300
mlp_group,0,2,0.0038682999438606203,0.0,1,300
mlp_group,0,3,0.00033696548780426383,0.0,1,300
mlp_group,0,4,0.004340363142546266,0.0,1,300
mlp_group,0,5,0.001462364278268069,0.0,1,300
mlp_group,0,6,0.004913846438284963,0.003460228443145752,1,300
mlp_group,0,7,0.0005866510909982026,0.0,1,300
head,1,0,0.1832059304579161,0.06228375434875488,1,300
head,1,1,0.31633484171470627,0.13494807481765747,1,300
head,1,2,0.8757398109300993,0.2560553550720215,1,300
head,1,3,0.330190954671707,0.07958477735519409,1,300
mlp_group,1,0,0.0002927666646428406,0.0,1,300
mlp_group,1,1,0.00023256067652255297,0.0,1,300
mlp_group,1,2,0.0005028005107305944,0.0,1,300
mlp_group,1,3,0.00036927516339346766,0.0,1,300
mlp_group,1,4,0.00030196475563570857,0.0,1,300
mlp_group,1,5,0.0004987200372852385,0.0,1,300
mlp_group,1,6,0.00043583131628111005,0.0,1,300
mlp_group,1,7,0.0006420142599381506,0.0,1,300
head,0,0,0.5098897654970642,0.14186853170394897,1,400
head,0,1,0.9308451254328247,0.245674729347229,1,400
head,0,2,0.8748655755480286,0.25259512662887573,1,400
head,0,3,1.072950049157953,0.25951558351516724,1,400
mlp_group,0,0,0.0010636675579007715,0.0,1,400
mlp_group,0,1,0.00015518374857492745,0.0,1,400
mlp_group,0,2,0.00496062109596096,0.0,1,400
mlp_group,0,3,0.0002740904747042805,0.0,1,400
mlp_group,0,4,0.0046167954278644174,0.0,1,400
mlp_group,0,5,0.001208193221827969,0.0,1,400
mlp_group,0,6,0.005801947176223621,0.003460228443145752,1,400
mlp_group,0,7,0.0005814580654259771,0.0,1,400
head,1,0,0.19173926007351838,0.06574392318725586,1,400
head,1,1,0.32909895371994935,0.13494807481765747,1,400
head,1,2,0.9262713630159851,0.2802768349647522,1,400
head,1,3,0.34013126682839356,0.07958477735519409,1,400
mlp_group,1,0,0.00021449619089253247,0.0,1,400
mlp_group,1,1,0.00016932605649344623,0.0,1,400
mlp_group,1,2,0.0003905648773070425,0.0,1,400
mlp_group,1,3,0.0002761474752333015,0.0,1,400
mlp_group,1,4,0.00022098791669122875,0.0,1,400
mlp_group,1,5,0.0003855678078252822,0.0,1,400
